Total Decode Datalog Size
1.222 0.337 0.367 40416
0.736 0.205 0.220 31040
1.820 0.544 0.567 59416
0.963 0.268 0.290 38920
1.211 0.334 0.380 38920
1.249 0.350 0.400 43016
0.874 0.238 0.263 34824
0.550 0.149 0.162 22200
0.406 0.099 0.107 18104
0.430 0.107 0.117 18104
1.288 0.264 0.624 30392
0.325 0.086 0.094 18104
0.532 0.145 0.168 19856
0.390 0.100 0.108 16816
0.405 0.110 0.116 17584
1.177 0.239 0.583 26512
0.331 0.085 0.091 15536
0.662 0.189 0.192 26280
0.384 0.101 0.106 18088
0.577 0.136 0.200 22184
1.022 0.205 0.526 26280
0.383 0.098 0.108 18088
22.654 5.750 9.231 407128
12.487 3.587 4.555 263768
12.107 3.453 4.363 263768
12.114 3.416 4.388 263768
12.051 3.547 4.295 255576
22.646 5.701 9.182 404752
14.421 4.160 4.906 327632
12.234 3.386 4.170 256688
12.387 3.338 4.169 257008
12.034 3.452 4.249 254576
26.538 6.900 10.681 517704
13.226 3.973 4.219 292424
13.096 3.871 4.249 292424
13.204 3.998 4.224 292424
12.965 3.914 4.239 288328
0.618 0.172 0.192 18168
0.415 0.107 0.128 18168
0.431 0.122 0.145 18168
0.871 0.216 0.320 22264
0.341 0.090 0.098 14072
0.604 0.161 0.190 18392
0.397 0.111 0.118 14296
0.462 0.123 0.132 18392
0.618 0.168 0.213 18392
0.349 0.089 0.093 14296
0.732 0.208 0.223 22256
0.405 0.110 0.114 14064
0.621 0.159 0.206 18160
0.617 0.161 0.207 18160
0.397 0.104 0.122 14064
7.286 1.373 0.543 686528
7.050 1.297 0.500 682464
7.053 1.298 0.497 682464
7.194 1.303 0.572 686560
6.999 1.270 0.499 682464
7.282 1.293 0.554 682688
7.271 1.301 0.511 680504
6.990 1.298 0.495 680568
7.238 1.297 0.528 682680
7.041 1.277 0.487 679128
7.378 1.338 0.594 686512
7.051 1.306 0.498 682416
7.237 1.327 0.536 682416
7.220 1.320 0.522 682416
7.201 1.285 0.498 682416
1.096 0.371 0.216 79392
1.019 0.292 0.197 75296
0.975 0.295 0.193 75296
1.205 0.338 0.301 79392
0.990 0.286 0.187 75296
1.061 0.321 0.215 75520
0.975 0.288 0.188 73792
1.012 0.296 0.196 74336
1.051 0.307 0.214 75520
1.006 0.281 0.289 73120
1.125 0.329 0.232 79384
1.027 0.289 0.192 75288
1.082 0.333 0.240 79384
1.151 0.325 0.240 79384
0.996 0.287 0.193 75288
0.419 0.146 0.113 13768
0.293 0.071 0.075 13776
0.282 0.075 0.074 13776
0.411 0.106 0.128 13776
0.254 0.060 0.063 9680
0.388 0.102 0.113 11584
0.258 0.067 0.071 9400
0.293 0.075 0.076 9912
0.385 0.102 0.112 11712
0.242 0.058 0.065 8584
0.440 0.126 0.130 13768
0.285 0.070 0.072 13768
0.355 0.086 0.095 13768
0.344 0.086 0.095 13768
0.246 0.066 0.070 9672
0.628 0.175 0.176 22112
0.427 0.122 0.122 18024
0.450 0.125 0.119 18024
1.522 0.426 0.533 38504
0.366 0.101 0.099 13928
0.625 0.174 0.184 20056
0.410 0.118 0.118 15120
0.450 0.125 0.126 15392
4.162 0.972 1.755 74672
0.365 0.098 0.096 13176
0.755 0.226 0.231 26208
0.448 0.126 0.125 18016
0.576 0.173 0.167 18016
0.600 0.178 0.174 22112
0.410 0.111 0.110 13920
0.322 0.121 0.075 9672
0.233 0.054 0.057 9680
0.239 0.057 0.058 9680
0.307 0.077 0.084 13776
0.206 0.047 0.048 9680
0.291 0.073 0.077 9472
0.213 0.052 0.054 8184
0.242 0.059 0.059 8552
0.296 0.075 0.077 9912
0.212 0.046 0.046 7408
0.362 0.101 0.096 13768
0.214 0.052 0.052 9672
0.262 0.071 0.075 9672
0.280 0.071 0.080 9672
0.211 0.050 0.057 9672
0.341 0.109 0.101 13776
0.265 0.068 0.070 13784
0.277 0.074 0.074 13784
0.557 0.138 0.179 17880
0.256 0.057 0.058 9688
0.352 0.094 0.102 11200
0.258 0.068 0.067 9312
0.285 0.073 0.074 9920
0.463 0.124 0.140 13392
0.228 0.056 0.057 8424
0.427 0.113 0.115 13776
0.259 0.067 0.066 9680
0.397 0.104 0.118 13776
0.403 0.105 0.117 13776
0.246 0.065 0.067 9680
0.405 0.123 0.121 13912
0.332 0.082 0.100 13920
0.339 0.087 0.094 13920
0.640 0.151 0.255 18016
0.277 0.070 0.077 13920
0.405 0.108 0.120 12920
0.299 0.080 0.086 11080
0.342 0.090 0.098 11864
0.478 0.123 0.160 14144
0.277 0.069 0.076 10048
0.525 0.146 0.150 18008
0.311 0.081 0.084 13912
0.456 0.116 0.169 13912
0.472 0.114 0.160 13912
0.302 0.075 0.089 13912
0.584 0.178 0.185 17928
0.362 0.094 0.105 13840
0.377 0.100 0.108 13840
0.567 0.144 0.183 17936
0.308 0.079 0.087 13840
0.579 0.154 0.191 15784
0.342 0.092 0.104 11480
0.402 0.101 0.111 12040
0.538 0.135 0.169 14328
0.311 0.078 0.090 10152
0.701 0.199 0.222 22032
0.370 0.098 0.106 13840
0.433 0.111 0.140 13840
0.443 0.111 0.135 13840
0.353 0.085 0.100 13840
0.449 0.133 0.140 17928
0.339 0.088 0.092 13840
0.337 0.090 0.089 13840
0.548 0.144 0.172 17936
0.304 0.071 0.077 13840
0.473 0.128 0.138 14272
0.316 0.087 0.089 11360
0.336 0.093 0.090 11752
0.457 0.119 0.134 14072
0.273 0.069 0.075 10008
0.586 0.165 0.170 17936
0.321 0.086 0.083 13840
0.407 0.114 0.119 13840
0.426 0.114 0.119 13840
0.314 0.076 0.086 13840
0.887 0.268 0.279 26280
0.629 0.164 0.201 22032
0.599 0.168 0.180 22032
0.803 0.216 0.255 26128
0.504 0.129 0.144 17936
0.889 0.251 0.276 26504
0.598 0.160 0.178 22264
0.618 0.170 0.185 22264
0.709 0.195 0.223 22264
0.464 0.123 0.139 18168
1.110 0.325 0.328 34456
0.576 0.161 0.167 22032
0.735 0.196 0.222 22032
0.727 0.198 0.231 22032
0.544 0.142 0.164 17936
0.666 0.187 0.198 22328
0.479 0.123 0.146 18168
0.447 0.122 0.135 18168
0.592 0.159 0.198 18168
0.379 0.093 0.111 14072
0.652 0.173 0.196 22552
0.449 0.116 0.149 14584
0.477 0.123 0.141 18392
0.524 0.138 0.161 18392
0.361 0.090 0.099 14296
0.774 0.230 0.237 26408
0.420 0.113 0.124 18152
0.486 0.126 0.154 18152
